ordinal,id,location,euro,surface,compartiment,link
139,X6710009U,buna ziua,90000,72,decomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X6710009U?lista=141495822
140,X4HK10039,zorilor,89500,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10039?lista=141495822
141,X671000A7,buna ziua,95900,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000A7?lista=141495822
142,X8MD1004Q,dambul rotund,81000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8MD1004Q?lista=141495822
143,X9E00000O,marasti,85721,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X9E00000O?lista=141495822
144,X01V1000T,dambul rotund,86000,79,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X01V1000T?lista=141495822
145,X8M2100F6,borhanci,105120,83,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X8M2100F6?lista=141495822
146,X5NQ1003V,marasti,81650,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X5NQ1003V?lista=141495822
147,X5NQ10013,zorilor,98900,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X5NQ10013?lista=141495822
148,X9CH10083,manastur,89000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9CH10083?lista=141495822
149,X8M21001Q,sopor,106600,82,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/sopor/apartament-de-vanzare-3-camere-X8M21001Q?lista=141495822
150,X46K1051G,buna ziua,91580,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X46K1051G?lista=141495822
151,X8QD10012,dambul rotund,90000,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8QD10012?lista=141495822
152,X8SC10030,marasti,105000,87,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC10030?lista=141495822
153,X93B1005O,marasti,85445,74,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X93B1005O?lista=141495822
154,XA0R0000E,marasti,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XA0R0000E?lista=141495822
155,X9CH10029,manastur,99900,80,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9CH10029?lista=141495822
156,X93B1005K,zorilor,94627,72,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X93B1005K?lista=141495822
157,XASI1000B,manastur,85000,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XASI1000B?lista=141495822
158,X7JK0001D,manastur,88900,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7JK0001D?lista=141495822
159,X8SC10036,central,104673,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X8SC10036?lista=141495822
160,X92N10007,manastur,91113,82,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X92N10007?lista=141495822
161,X7JK0002E,central,109300,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X7JK0002E?lista=141495822
162,X93B1004G,andrei muresanu,99900,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X93B1004G?lista=141495822
