id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
XV0F00OTP,3,67,2,6,semidecomandat,0,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-XV0F00OTP?lista=141346768
X65E1000E,4,78,2,4,decomandat,-1,119900,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-4-camere-X65E1000E?lista=141346768
X9PL100BI,3,65,1,4,semidecomandat,-1,89000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9PL100BI?lista=141346768
XV0G00P3T,3,61,2,4,semidecomandat,-1,120000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-XV0G00P3T?lista=141346768
XV0G00O3D,3,75,1,2,semidecomandat,0,107640,andrei muresanu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-XV0G00O3D?lista=141346768
X9M21000I,3,62,2,8,semidecomandat,0,108000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X9M21000I?lista=141346768
X7F91002H,3,61,2,2,semidecomandat,0,82900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7F91002H?lista=141346768
X7F91009Q,3,66,1,4,semidecomandat,0,98500,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F91009Q?lista=141346768
X9PL100C2,4,73,1,4,semidecomandat,-1,114500,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-4-camere-X9PL100C2?lista=141346768
X7F9100AC,3,69,4,4,semidecomandat,0,91900,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F9100AC?lista=141346768
X8MD100A6,3,65,6,8,semidecomandat,0,99000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X8MD100A6?lista=141346768
X7F9100AG,3,66,1,4,semidecomandat,0,88500,buna ziua,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F9100AG?lista=141346768
X9PL1007H,3,64,2,3,semidecomandat,-1,115000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X9PL1007H?lista=141346768
X7F91009J,3,66,1,4,semidecomandat,0,82500,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F91009J?lista=141346768
X7F91000V,3,70,1,2,semidecomandat,0,93400,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7F91000V?lista=141346768
X9CH1001C,3,61,3,4,semidecomandat,-1,106900,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X9CH1001C?lista=141346768
X7F910070,3,69,1,4,semidecomandat,0,85900,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F910070?lista=141346768
X7F910020,3,69,1,4,semidecomandat,0,92900,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F910020?lista=141346768
X4I7100LE,4,63,2,4,semidecomandat,-1,82000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X4I7100LE?lista=141346768
XANP0000I,3,76,4,6,decomandat,0,97977,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP0000I?lista=141346768
X8MD100AV,4,81,1,8,decomandat,-1,119000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X8MD100AV?lista=141346768
X1KA1014T,3,63,1,4,semidecomandat,-1,110000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA1014T?lista=141346768
XA7E0000Q,3,71,2,6,decomandat,0,96600,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-XA7E0000Q?lista=141346768
XV0G00H4L,4,79,4,4,decomandat,-1,99000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-XV0G00H4L?lista=141346768
X4HK10034,3,66,1,4,decomandat,0,93380,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10034?lista=141346768
X90R100JC,3,64,4,4,semidecomandat,-1,110000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X90R100JC?lista=141346768
X3SH103D3,3,72,1,5,semidecomandat,0,108825,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X3SH103D3?lista=141346768
X46K102V5,4,70,2,10,decomandat,-1,87900,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X46K102V5?lista=141346768
