id,surface,euro,location,link
X8M21000A,105,100000,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X8M21000A?lista=141346768
XARL1003U,105,110000,someseni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/someseni/apartament-de-vanzare-4-camere-XARL1003U?lista=141346768
X54N0004F,106,114000,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-4-camere-X54N0004F?lista=141346768
X9AC10020,106,111000,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-X9AC10020?lista=141346768
XB0U100AF,106,109000,grigorescu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-4-camere-XB0U100AF?lista=141346768
X57Q1008E,108,105000,iris,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/iris/apartament-de-vanzare-5-camere-X57Q1008E?lista=141346768
X9PI1003E,108,98500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X9PI1003E?lista=141346768
X1KA100N0,110,89900,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-4-camere-X1KA100N0?lista=141346768
XARL1004B,110,85000,manastur,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XARL1004B?lista=141346768
X46K100ES,120,116900,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/penthouse-de-vanzare-sau-de-inchiriat-3-camere-X46K100ES?lista=141346768
X7NS1001P,120,104900,zorilor,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-4-camere-X7NS1001P?lista=141346768
X4NB100AE,122,115000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-4-camere-X4NB100AE?lista=141346768
X01V1002C,70,106000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X01V1002C?lista=141346768
X01V1002L,70,87000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X01V1002L?lista=141346768
X01V1004N,70,92000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X01V1004N?lista=141346768
X1KA100AT,70,109000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA100AT?lista=141346768
X1KA100DM,70,105000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA100DM?lista=141346768
X1KA100EF,70,77000,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA100EF?lista=141346768
X1KA100QT,70,105000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA100QT?lista=141346768
X1KA1011J,70,95000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA1011J?lista=141346768
X1KA1016F,70,115000,dambul rotund,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X1KA1016F?lista=141346768
X1KA101PN,70,105415,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X1KA101PN?lista=141346768
X3SH100AQ,70,103000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X3SH100AQ?lista=141346768
X3SH102LI,70,94900,campului,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/campului/apartament-de-vanzare-3-camere-X3SH102LI?lista=141346768
X3SH103B1,70,84000,someseni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/someseni/apartament-de-vanzare-3-camere-X3SH103B1?lista=141346768
X46K100CD,70,106000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K100CD?lista=141346768
X46K100H3,70,98000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X46K100H3?lista=141346768
